City,Team,Conference,Win,Loss,PointsFor,PassAtt,PassYards,PassTD,RushAtt,RushYards,RushTD,YPC,YBC,YBCPC,SacksAllowed,Pressured,RunVsPass,gradeOL,gradeQB,gradeRB,isRunningScheme,isPassingScheme,isMixScheme,PointsAllowed,YardsAllowed,Turnovers,Sacks,Pressure,3DAtt,3DConversion,3DCP
Arizona,Cardinals,NFC West,4,13,340,664,3966,17,434,1873,15,4.32,1244,2.87,46,142,0.65,67.94,62.1,69.7,0,1,0,449,5931,20,36,147,210,67,0.32
Atlanta,Falcons,NFC South,7,10,365,415,2927,17,559,2718,17,4.86,1701,3.04,37,92,1.35,78.94,55.9,86.7,1,0,0,386,6156,17,21,88,205,72,0.35
Baltimore,Ravens,AFC North,10,7,350,488,3202,19,526,2720,14,5.17,1867,3.55,38,102,1.08,73.06,85.2,76.2,1,0,0,315,5513,25,48,128,209,73,0.35
Buffalo,Bills,AFC East,13,3,455,574,4291,35,430,2232,15,5.19,1577,3.67,33,114,0.75,63.54,91.6,75.8,0,1,0,286,5106,27,40,142,194,73,0.38
Carolina,Panthers,NFC South,7,10,347,457,3246,16,483,2210,16,4.58,1336,2.77,36,89,1.06,64.82,70,74,1,0,0,374,5953,17,35,126,220,75,0.34
Chicago,Bears,NFC North,3,14,326,377,2598,19,558,3014,18,5.40,1893,3.39,58,129,1.48,73.56,70.2,72.5,1,0,0,463,6390,23,20,85,225,77,0.34
Cincinati,Bengals,AFC North,12,4,418,610,4520,35,399,1528,14,3.83,991,2.48,44,114,0.65,63.76,90.8,79.3,0,1,0,322,5371,24,30,136,208,78,0.38
Cleveland,Browns,AFC North,7,10,361,540,3710,19,532,2490,19,4.68,1423,2.67,44,140,0.99,73.26,55.3,90.3,1,0,0,381,5631,20,34,103,199,78,0.39
Dallas,Cowboys,NFC East,12,5,467,556,3911,28,531,2298,24,4.33,1336,2.52,27,124,0.96,67.78,72,89.5,1,0,0,342,5613,33,54,162,215,82,0.38
Denver,Broncos,AFC West,6,11,395,571,4007,18,444,1935,11,4.36,1236,2.78,63,181,0.78,68.24,66.2,64.5,0,0,1,359,5440,23,36,123,208,84,0.40
Detroit,Lions,NFC North,9,8,453,588,4444,29,480,2179,23,4.54,1416,2.95,24,120,0.82,73.48,72.4,67.9,0,0,1,427,6670,22,39,149,212,84,0.40
Green Bay,Packers,NFC North,8,9,370,563,3890,27,456,2113,12,4.63,1281,2.81,32,108,0.81,68.68,78.7,86.1,0,0,1,371,5721,24,34,126,224,85,0.38
Houston,Texans,AFC South,3,13,289,579,3642,20,398,1476,7,3.71,848,2.13,38,144,0.69,64.9,70,78.9,0,1,0,420,6452,27,39,119,222,85,0.38
Indianapolis,Colts,AFC South,4,12,289,604,3854,17,439,1866,8,4.25,1128,2.57,60,166,0.73,67.98,70,67.6,0,1,0,427,5678,21,44,134,218,85,0.39
Jacksonville,Jaguars,AFC South,9,8,404,596,4148,25,448,2116,16,4.72,1500,3.35,28,114,0.75,61.26,77.4,72.1,0,0,1,350,6006,27,35,168,215,85,0.40
