"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"40.6","Elijah Mitchell","SF","4.1","","","","","","","","","8.8","5.9","4.3","","","","","","17.5"
"254.4","Nick Chubb","CLV","14.3","29.3","17.3","18.7","25.4","7","16.7","22.4","","14.1","6.7","19.2","8","5.4","9.9","10.2","11.6","18.2"
"271.8","Austin Ekeler","LAC","7.2","9.4","5.3","28.9","31.9","14.4","24.7","","19.1","6.3","16","14","10.2","16.4","13","19.9","28.1","7"
"8.7","Jordan Wilkins","IND","","","","","","","","","2.8","1.8","","","","","","0.4","3.7",""
"200.9","Miles Sanders","PHI","16.5","8.6","4.4","27.6","6.4","13.2","","13.8","15.3","5.4","4.8","28","9.8","27.5","2.9","7.3","6.1","3.3"
"56.2","Dontrell Hilliard","TEN","18.9","","4.4","1.8","8.3","","0.4","9.5","0.8","0.8","7.8","1.9","1.6","0","","","",""
"140.4","Dameon Pierce","HST","3.9","7.7","16.1","19.9","17.3","","11.7","11.1","13.9","12.2","1.7","1.6","9.5","13.8","","","",""
"123.7","Latavius Murray","DEN","","","","12.5","","6.4","8.3","11.9","","4.7","13.2","9.8","6.1","3.1","20.2","4","7.2","16.3"
"15","Royce Freeman","HST","","","","","","","","","","","","","","","5.6","3.8","3.9","1.7"
"7.2","Ke'Shawn Vaughn","TB","","","","","","","","","0.4","1.3","","1.5","","","","0.6","0","3.4"
"19.8","Mike Boone","DEN","0.2","0","0","2.9","8.5","0.4","2.3","","","","","","2.6","2.9","","","",""
"0.2","Damien Williams","ATL","0.2","","","","","","","","","","","","","","","","",""
"73.4","Alexander Mattison","MIN","3.6","1.4","10.4","7.8","4","0.3","","10","0.1","1.9","0.8","1.1","7.8","-0.1","0.1","1.7","4.5","18"
"87","Michael Carter","NYJ","10","5","4.6","2.9","15.3","4.7","7.4","6.1","14.6","","1.7","3.6","","2","3.1","5","0.5","0.5"
"7.3","Ty Montgomery","NE","7.3","","","","","","","","","","","","","","","","",""
"65.3","Jaylen Warren","PIT","0.7","1.5","3.3","2.2","6.3","0.2","2.4","7.5","","7.7","0.9","","1.9","2.7","10.9","3","9.8","4.3"
"19","Tevin Coleman","SF","","","","0","18.7","0.3","","","","","","","","","","","",""
"62.5","Eno Benjamin","NO","6.1","5.1","2.3","4.5","11.3","6.4","17.3","4.5","2.7","0","","","0","0.1","","","1.9","0.3"
"29.1","Travis Homer","SEA","0.2","4.2","0.7","","","","","3.1","3.2","0","","11.3","","3.4","3","0","",""
"141.1","D'Andre Swift","DET","23.5","14.7","4.6","","","","","9.3","5","7.2","9.2","4.3","17.1","3.9","7.5","2.5","23.7","8.6"
"5.4","Tony Jones Jr.","SEA","0","2","","","","","","","","","","","3.2","0.2","","","",""
"41.2","Boston Scott","PHI","7","2.1","0","","","1.6","","2.1","0.5","0.5","1.2","2.4","2.1","9.7","0","0","0.6","11.4"
"46","Zonovan Knight","NYJ","","","","","","","","","","","","10.3","11.8","13.7","2.3","1.3","4.4","2.2"
"209.8","Tony Pollard","DAL","2.2","15.8","10.5","0.8","14.6","5.2","10.9","32.7","","18.8","30.9","6.1","22.6","18.2","10.6","8","","1.9"
"5.4","Isaiah Spiller","LAC","","","","","","","-0.5","","2.9","0.3","2.2","0.5","","0","","","",""
"18.3","Brandon Bolden","LV","8.8","","2.1","-0.1","3.4","","","0","0.5","","0.4","","","0","","0","3.2",""
"6","Trayveon Williams","CIN","","","","","","","","","","","0.7","4.2","0.3","0.8","","0","",""
"23.9","Gary Brightwell","NYG","","1.4","","0","6.5","0","","0","","","0","4.9","","4.1","","-0.1","0.9","6.2"
"1","Jakob Johnson","LV","0.1","0","0","0","0.5","","0","0","0","0","0","0","0","0.1","0","0","0","0.3"
"56.5","Darrell Henderson","JAX","7.3","10.7","1.7","3.9","3","11.2","","3","5.6","9.2","0.9","","","","","","",""
"74","Damien Harris","NE","5.8","14.7","10.6","14.4","1.2","","1","5.2","","","9.3","1.6","","","","","5","5.2"
"1.2","Jerome Ford","CLV","","","","","","","","","","","","","0.3","","","","0.9",""
"5","Ronnie Rivers","LA","","","","","","1.4","","3.6","","","","","","","","0","",""
"1.9","Troy Hairston","HST","0.5","0","0","0","0","","0","0.7","0","0","0","0","0","","0","0","0.7","0"
"1.9","Trey Sermon","PHI","","","","1.9","0","","","","","","","","","","","","",""
"194","Aaron Jones","GB","7.6","29","4.7","11.5","8","4.4","19.6","15.7","4.5","21.6","6","15.9","5","","18.6","3.8","11.3","6.8"
"3.5","Kene Nwangwu","MIN","","","","","","","","","","","0.6","","","","","","0","2.9"
"15.9","Sony Michel","LAC","1.2","1.9","3.1","2.7","0","4.2","1.3","","1.2","0.2","0.1","","","","","","",""
"140.3","Jerick McKinnon","KC","4.9","7.6","2","0","7.2","3","4.8","","4.4","5.8","2.4","2.6","12","25.4","24.2","9.8","17.6","6.6"
"3.3","Larry Rountree III","LAC","","","","","","","","","","","","","","","","0","2.8","0.5"
"21.3","C.J. Ham","MIN","0.6","0","1.5","0","0","0.3","","0","0","6.3","0","0","0","0.9","6.5","0.5","0","4.7"
"81.3","Clyde Edwards-Helaire","KC","19.4","11.8","9.9","21.4","3.5","3.3","9.2","","1.9","0","0.9","","","","","","",""
"139.5","AJ Dillon","GB","15.1","6.7","3.8","8.4","3.4","5.3","1.5","6.3","4.4","6.5","2.3","14.8","17.9","","19.1","10.6","10.1","3.3"
"9.7","Darrynton Evans","CHI","","","","","","","","","","","0","6.7","2.1","","0.9","","",""
"0.4","Duke Johnson Jr.","BUF","","","","","","","","","","0.4","","","","","","","",""
"6.9","Andrew Beck","DEN","5.2","-0.1","0","0","0","0.7","0","0","","","","0","","","0.1","0","1","0"
