"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"8.8","Kyle Rudolph","TB","","","1.2","","0","","0.8","0","0","","","","0","","","0","0","6.8"
"115.5","Mark Andrews","BLT","5.2","16.7","20.9","1.5","14.9","16.6","0.4","3.3","","","6.3","5","5.4","1.7","3.1","4.5","10",""
"63.1","Chigoziem Okonkwo","TEN","0.7","0","0","9.8","0","","0","0.3","4.8","4.1","3.1","3.5","6.8","10.5","6","1","2.3","10.2"
"1.1","Sean McKeon","DAL","","","0","","","1","0","0","","0.1","0","0","0","0","0","0","0","0"
"0","Garrett Griffin","DET","","","","","","","","","","","","","","","","0","",""
"11.8","Geoff Swaim","TEN","1.9","0","7.9","0","0.5","","0","0","0","0","0.3","0","0.4","0","0","-0.1","0.4","0.5"
"5.7","Tyler Kroft","SF","0.9","0","","","","","","0.6","","0","0","","1.4","0","2.8","0","0","0"
"4","Luke Farrell","JAX","0","0","0","","0","1.1","0","0","1.5","0","","0","0.3","0","0","0","0","1.1"
"26.9","Josh Oliver","BLT","0","0","6.8","0","0","2.1","0","0.4","1.9","","0.2","13.6","0","0","1.3","0.6","0","0"
"12.3","Jack Stoll","PHI","0","0","0.4","0","0","2.1","","0","1.3","1.1","0.7","0","4.1","2","0.6","0","0","0"
"119.1","Taysom Hill","NO","14.3","1.4","","8.1","29.2","3.9","7.2","7.2","0.6","0.1","6","2","10.5","","3","11.6","11.5","2.5"
"4.6","Stephen Sullivan","CAR","","1.3","0","0","","0","0","3.3","","0","0","0","","0","0","0","0","0"
"9","Armani Rogers","WAS","2.3","0","0","0","0","0","2.8","1.3","2.4","0","","","","","","","","0.2"
"2.6","Tyler Davis","GB","0.3","0","2.6","0","-0.3","0","0","0","0","0","0","0","0","","0","0","0","0"
"0","Cethan Carter","MIA","0","","","","","","","","","","","","","","","","",""
"73.5","Tyler Conklin","NYJ","7.6","4","8.4","5.2","0","1.7","2.2","19.9","0.7","","1.5","5","0.9","2.8","0.9","3.4","8","1.3"
"87.7","Dalton Schultz","DAL","6.2","1.8","","0","0","","4.9","7.4","","11.4","2.2","15.1","3.3","8.7","1.5","4.3","17.6","3.3"
"23.3","Teagan Quitoriano","HST","","","","","","","","","6.2","0","0","2","0","0","6.8","0","","8.3"
"51.1","Cade Otton","TB","0","0.4","","2.9","4.3","2.3","6.4","1.5","12.8","3.5","","0","8.8","2.8","2","1.2","1.7","0.5"
"206.3","Travis Kelce","KC","18.1","5.1","11.9","15.2","26.5","11.2","9.8","","10.6","14.1","29.5","11.7","5.6","7.1","10.5","11.3","4.3","3.8"
"7.2","Tre' McKitty","LAC","2.4","0","0","0.4","0","0","0","","0","2.1","0","0","0.8","0.5","0","1","0","0"
"3.5","Kendall Blanton","LA","","","2.8","0.7","0","0","","","","","","","","","","","",""
"30.2","Kylen Granson","IND","2.2","1.4","0.7","6.2","1.6","3.8","0.6","1.1","0","5.7","1.6","","1.9","","3.4","","",""
"8","Blake Bell","KC","","","","","","","","","","","","","","","","0","7.7","0.3"
"35.4","Tommy Tremble","CAR","0.1","0","0.7","3.4","0","0","8.9","1.7","7.1","0","0","0.2","","0","2","1.8","9.3","0.2"
"4.2","Chris Manhertz","JAX","0","0","0","0","1.5","0","0","-0.1","0.7","0","","0","0","2.1","0","0","0","0"
"2.6","Ryan Griffin","CHI","0","1.8","","","0.1","0","0.5","0","0","0","0","0","0","","0","0.2","0","0"
"0","Hunter Long","MIA","0","","","","","0","0","0","0","","","","","","0","0","0","0"
"16.8","John Bates","WAS","0","1.5","0","1.9","3.9","","0","0.6","0.5","0","0","8.4","0","","0","0","0","0"
"13.5","Dan Arnold","JAX","0","0.8","0","2.6","2","0","2.4","0.8","1.9","0.8","","0","0","0.5","0","1.7","0",""
"0","Tyree Jackson","PHI","","","","","","","","","","","0","0","0","0","0","","",""
"49.2","Jelani Woods","IND","0","0","13.3","3.3","0","8.7","0.4","0","0.2","","","9.8","2.8","","3.6","4.3","1.9","0.9"
"13.2","Zach Gentry","PIT","4","0","0","0.2","4.3","0.4","0","0.3","","0","0.8","-0.4","0.8","0","0.4","0.1","0","2.3"
"19.9","Eric Tomlinson","DEN","0","0","0","0","0","1.6","2.1","0","","0","0","0","0","1.1","8.8","0","0","6.3"
