"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"21.4","David Bell","CLV","0","0.6","0.6","3.5","0.6","1.3","0.7","2.7","","2.4","2.2","2.3","0","2.7","","1.8","0","0"
"14.1","Jameson Williams","DET","","","","","","","","","","","","","0","10.1","0","0","4","0"
"12.1","T.Y. Hilton","DAL","","","","","","","","","","","","","","","","5.2","5","1.9"
"68.2","DJ Chark Jr.","DET","11.2","0","4.6","","","","","","","","0","7.6","9.8","15.4","1.8","10.8","5.6","1.4"
"5.8","Deven Thompkins","TB","","","","","","","","","","","","","","","1.6","0","0","4.2"
"170","Amari Cooper","CLV","1.7","16.1","16.1","0.9","13.6","10.4","7.4","19.1","","3.2","23.3","9.4","4","4.2","5.8","7.2","22.5","5.1"
"27.8","Dyami Brown","WAS","0","0","0","0.6","22.5","0","","","0","1.5","0","1.7","0","","1.5","0","0","0"
"0","Ethan Fernea","IND","","","","","","","0","","","","","","","","","","",""
"113.5","Mike Williams","LAC","1","17.3","7.5","12","13.4","1.7","14.6","","","","1.5","","","17.6","6.7","7.6","9.4","3.2"
"1.5","Quintez Cephus","DET","0","0","0","1.5","","","","","","","","","","","","","",""
"14.1","Kenny Golladay","NYG","2.2","0","0","0","","","","","","0","2.9","0","","0","0","0","0","9"
"84.4","Darius Slayton","NYG","","0","0","1.1","7.9","1.8","11.8","6.6","","15.5","8.6","6.3","9","4.2","2.3","7.9","1.4","0"
"237.3","Justin Jefferson","MIN","30.4","4.8","1.4","21","15.4","10.7","","9.8","18.5","25.3","3.3","19.9","11.6","22.3","18.3","19.3","1.5","3.8"
"3.3","Tylan Wallace","BLT","0","0.9","0","0","0.8","0.4","","","","","0","","","","","","","1.2"
"0.5","Jason Moore","LAC","","","","0","0","0","0.5","","0","0","","","","","","","",""
"152","Terry McLaurin","WAS","11.8","8.2","10.2","1.5","7.6","5.2","13.3","10.6","5.6","12.8","5.6","5.3","16.5","","7","13.7","3.7","13.4"
"23.6","Brandon Powell","LA","1.3","-2","2.7","1.1","0.1","4","","0","0.4","0.7","1.5","0.6","8.4","0","0.7","1.5","0.9","1.7"
